క్రియ,క్రి.రూపం.,అర్థం,మూలపదము,Spatial,Temporal,Impetus (force),Measure,అర్థం,,,,,,
అకారణము,క్రి.విణ,"కారణము లేక,వ్యర్థముగ",,,1,,,"కారణము లేక,వ్యర్థముగ",,,,,,
అకారతుగా,క్రి.విణ,"ఆకారణముగా,హేతువులేకుండగ",,,,1,,"ఆకారణముగా,హేతువులేకుండగ",,,,,,
అగ్గలము,క్రి.విణ,"మిగుల,అధికముగా",,,,,1,"మిగుల,అధికముగా",,,,,,
అడ్డగోలుగా,క్రి.విణ,"అడ్డుగా,ప్రసక్తిలేకుండ",అడ్డ,,,1,,"అడ్డుగా,ప్రసక్తిలేకుండ",,,,,,
అడ్డము,క్రి.విణ,"అడ్డముగా ,అడ్డుగా",,,,1,,"అడ్డముగా ,అడ్డుగా",,,,,,
అడ్డు,క్రి.విణ,అడ్డము,,1,,,,అడ్డము,,,,,,
అదరంట,క్రి.విణ,"మర్మస్థానమంటునట్లు-గాఢముగా,తీవ్రముగా",అదరు(వి),,,1,,"మర్మస్థానమంటునట్లు-గాఢముగా,తీవ్రముగా",,,,,,
అదరిపాటు,క్రి.విణ,"అకస్మాత్తుగా,డబ్బాటుగా",అదరిపడు,,1,,,"అకస్మాత్తుగా,డబ్బాటుగా",,,,,,
అనిశము,క్రి.విణ,"సదా,ఎల్లప్పుడు",,,1,,,"సదా,ఎల్లప్పుడు",,,,,,
అభ్యమిత్త్రము,సం.క్రి.విణ,"శత్రువునకెదురుగా,శత్రువునకు అభిముఖముగా",,1,,,,"శత్రువునకెదురుగా,శత్రువునకు అభిముఖముగా",,,,,,
అలవోక,క్రి.విణ.ద్రు,"అవలీలగా,అనాయాసముగా",అలవి,,,1,,"అవలీలగా,అనాయాసముగా",,,,,,
అల్ల,క్రి.విణ.ద్రు,"మందముగా,మెల్లగా,క్రమక్రమముగా",,,1,,,"మందముగా,మెల్లగా,క్రమక్రమముగా",,,,,,
అల్లన,క్రి.విణ.ద్రు,"మెల్లగా,మందముగా",అల్ల,,1,,,"మెల్లగా,మందముగా",,,,,,
అల్లల్ల,క్రి.విణ.ద్రు,"మెల్లమెల్లగా,క్రమక్రమముగా",అల్ల,,1,,,"మెల్లమెల్లగా,క్రమక్రమముగా",,,,,,
అవచాటముగా,క్రి.విణ.ద్రు,అకస్మాత్తుగా,,,1,,,అకస్మాత్తుగా,,,,,,
ఆదరబాదర,క్రి.విణ,"మిక్కిలి తొందరగా,అతిత్వరితముగా",,,1,,,"మిక్కిలి తొందరగా,అతిత్వరితముగా",,,,,,
ఉవ్వెత్తు,క్రి.విణ,"నిశ్శేషముగా,పూర్తిగా 2.అవలీలగా,అనాయాసముగా 3.ఎక్కువగా",,,,,1,"నిశ్శేషముగా,పూర్తిగా 2.అవలీలగా,అనాయాసముగా 3.ఎక్కువగా",,,,,,
ఊచముట్టు,క్రి.విణ,"మూలముట్టుగ,నిశ్శేషముగా",ఊచ,,,1,,"మూలముట్టుగ,నిశ్శేషముగా",,,,,,
ఎకాఎకి,క్రి.విణ,ఒక్కమారుగా,,,,1,,ఒక్కమారుగా,,,,,,
ఎక్కుడు,క్రి.విణ,"అధికముగా,మిగుల",ఎక్కు,,,,1,"అధికముగా,మిగుల",,,,,,
ఎగదిగ,క్రి.విణ,పైకిని క్రిందికిని,వెనుకకు ముందునకు,,1,,,,పైకిని క్రిందికిని,వెనుకకు ముందునకు,,,,
ఎగసన,క్రి.విణ,పైకిపోవునట్లు,ఎగు,1,,,,పైకిపోవునట్లు,,,,,,
ఎదురు,క్రి.విణ,"ఎదురుగా,అభిముఖముగా 2.సమానముగా",,1,,,,"ఎదురుగా,అభిముఖముగా 2.సమానముగా",,,,,,
ఎన,క్రి.విణ,"అత్యంతము,మిక్కిలి 2.చక్కగా,బాగుగా",,,,,1,"అత్యంతము,మిక్కిలి 2.చక్కగా,బాగుగా",,,,,,
ఏటవాలు,క్రి.విణ,వంపుగా,,1,,,,వంపుగా,,,,,,
ఏమరిపాట,క్రి.విణ,అకస్మాత్తుగా,ఏమరు,,1,,,అకస్మాత్తుగా,,,,,,
ఏమరిపాటు,క్రి.విణ,అకస్మాత్తుగా,ఏమరు,,1,,,అకస్మాత్తుగా,,,,,,
ఏరాళము-హేరాళము,క్రి.విణ,"అధికముగా,అసంఖ్యాకముగా",,,,,1,"అధికముగా,అసంఖ్యాకముగా",,,,,,
ఒక్కెర,క్రి.విణ,ఆకస్మికముగా,,,1,,,ఆకస్మికముగా,,,,,,
ఒల్లన,క్రి.విణ,"తిన్నగా,ఋజువుగా 2.వడిగా,వేగముగా 3.అధికముగా,మిక్కిలి",,,,,1,"తిన్నగా,ఋజువుగా 2.వడిగా,వేగముగా 3.అధికముగా,మిక్కిలి",,,,,,
అరిమురి,క్రి.విణ,"శీఘ్రముగా,వేగముగా;వెంటనే,తోడ్తో 2.అనాలోచితముగా 3.తబ్బిబ్బుగా, తారుమారుగా,ఉచ్చావనముగా 4.అత్యంతము,మిక్కిలి 5.ఇంచుకేనియు,బొత్తిగా 6.తరచుగా, దట్టముగా 7.నిశ్చయముగా,నిజముగా",,,,,1,"శీఘ్రముగా,వేగముగా;వెంటనే,తోడ్తో 2.అనాలోచితముగా 3.తబ్బిబ్బుగా, తారుమారుగా,ఉచ్చావనముగా 4.అత్యంతము,మిక్కిలి 5.ఇంచుకేనియు,బొత్తిగా 6.తరచుగా, దట్టముగా 7.నిశ్చయముగా,నిజముగా",,,,,,
తెకతేర,క్రి.విణ,"మిక్కిలి అనాయాసముగా,కడుసులభముగా, 2.నిష్కారణంగా, వ్యర్థముగా,వృధాగా",,,,,1,"మిక్కిలి అనాయాసముగా,కడుసులభముగా, 2.నిష్కారణంగా, వ్యర్థముగా,వృధాగా",,,,,,
తెప్పదెరల(గా),క్రి.విణ.ద్రు,"బహుళముగా,అధికముగా2.అతివేగముగా",,,,,1,"బహుళముగా,అధికముగా2.అతివేగముగా",,,,,,
తెప్పలుగ,క్రి.వీణ.ద్రు,"సమృద్ధముగా ,అధికముగా,పుష్కలముగా",,,,,1,"సమృద్ధముగా ,అధికముగా,పుష్కలముగా",,,,,,
తెప్పున,క్రి.వీణ.ద్రు,"తటాలున,శీఘ్రముగా",తెప్పు,,1,,,"తటాలున,శీఘ్రముగా",,,,,,
తెల-తెల్ల,క్రి.విణ,తెల్లగా,,,,,1,తెల్లగా,,,,,,
తేర,క్రి.విణ,"వృధాగా,నిష్ప్రయోజనముగా,చులుకనగా,అనాయాసముగా",,,,,1,"వృధాగా,నిష్ప్రయోజనముగా,చులుకనగా,అనాయాసముగా",,,,,,
తేరకుదేర,క్రి.విణ,"వ్యర్థముగా,నిష్ప్రయోజనముగా2.అనాయాసముగా",,,,,1,"వ్యర్థముగా,నిష్ప్రయోజనముగా2.అనాయాసముగా",,,,,,
తోడు,క్రి.విణ,సహాయముగా,,,,1,,సహాయముగా,,,,,,
తోడుత(డ్త),క్రి.విణ.ద్రు,"వెంబడి,వెంట",తోడు,1,,,,"వెంబడి,వెంట",,,,,,
తోడుతో(డ్తో),క్రి.విణ.ద్రు,"వెంబడి,వెనువెంట,శీఘ్రముగా2.తొల్త,మొదట",,,1,,,"వెంబడి,వెనువెంట,శీఘ్రముగా2.తొల్త,మొదట",,,,,,
తోడుతో(డ్త)డ,క్రి.విణ.ద్రు,"వెనువెంట,శీఘ్రముగా2.క్రమక్రమముగా,వరుసగా",,,1,,,"వెనువెంట,శీఘ్రముగా2.క్రమక్రమముగా,వరుసగా",,,,,,
తోడుతోడుత,క్రి.విణ.ద్రు,"వెనువెంటనే,అతిశీఘ్రముగా",,,1,,,"వెనువెంటనే,అతిశీఘ్రముగా",,,,,,
తోపాటు,క్రి.విణ,"సహార్ధకము,తోడుత",తోడు,,,1,,"సహార్ధకము,తోడుత",,,,,,
త్రెవ్వ,క్రి.విణ.ద్రు,పూర్ణముగా,,,,,1,పూర్ణముగా,,,,,,
దందడి,క్రి.విణ.ద్రు,అధికముగా,,,,,1,అధికముగా,,,,,,
దబ్బున,క్రి.విణ.ద్రు,శీఘ్రముగా,దబ్బు,,1,,,శీఘ్రముగా,,,,,,
దవ్వు,క్రి.విణ,దూరమగు,,1,,,,దూరమగు,,,,,,
దారున,క్రి.విణ.ద్రు,"ఝటిత్యర్థకము,శీఘ్రముగా,ఆకస్మికముగా,హతాత్తుగా",,,1,,,"ఝటిత్యర్థకము,శీఘ్రముగా,ఆకస్మికముగా,హతాత్తుగా",,,,,,
దిగజారు,క్రి.విణ,శీఘ్రముగా,దిగు,,1,,,శీఘ్రముగా,,,,,,
దిగసన,క్రి.విణ.ద్రు,దిగువగా,,1,,,,దిగువగా,,,,,,
దిగ్గన,క్రి.విణ.ద్రు,తటాలున,దిగ్గు,,1,,,తటాలున,,,,,,
దిశాపట్టము,క్రి.విణ,"దిక్కులకు పారునట్లుగా,చెల్లాచెదరగు నట్లుగా",,1,,,,"దిక్కులకు పారునట్లుగా,చెల్లాచెదరగు నట్లుగా",,,,,,
దీటు-తీడు,క్రి.విణ,"తిన్నగా,సూటిగా",,1,,,,"తిన్నగా,సూటిగా",,,,,,
దురీన,ద్రు.క్రి.విణ,తటాలున,,,1,,,తటాలున,,,,,,
ద్రుతము,క్రి.విణ,త్వరితము,,,1,,,త్వరితము,,,,,,
నలి,క్రి.విణ.ద్రు,"క్రమముగా,అత్యంతము,అర్హముగా,తగునట్లుగా,నిశ్చలముగా",,1,,,,"క్రమముగా,అత్యంతము,అర్హముగా,తగునట్లుగా,నిశ్చలముగా",,,,,,
నాలి,క్రి.విణ,తేలికగా,,,,1,,తేలికగా,,,,,,
నిండు,క్రి.విణ.ద్రు,"అధికముగా,పూర్ణముగా",,,,,1,"అధికముగా,పూర్ణముగా",,,,,,
నికము,క్రి.విణ,"యథార్థముగా,సత్యముగా",,,,,1,"యథార్థముగా,సత్యముగా",,,,,,
నికామము,క్రి.విణ,"అధికమైనది,యధేచ్చము,ఇష్టము చొప్పున,పర్యాప్తము,చాలినంత,మిక్కిలి అధికముగా",,,,,1,"అధికమైనది,యధేచ్చము,ఇష్టము చొప్పున,పర్యాప్తము,చాలినంత,మిక్కిలి అధికముగా",,,,,,
నిక్కము,క్రి.విణ,"నిజముగా,నిశ్చయముగా",,,,1,,"నిజముగా,నిశ్చయముగా",,,,,,
నిక్కువము,క్రి.విణ,నిజముగా,,,,1,,నిజముగా,,,,,,
నిచ్చ(లు),క్రి.విణ,నిశ్చయముగా,,,,1,,నిశ్చయముగా,,,,,,
నిజము,క్రి.విణ,"యథార్థముగా,సత్యముగా",,,,1,,"యథార్థముగా,సత్యముగా",,,,,,
నిత్యము,క్రి.విణ,"ప్రతిదినము,ఎల్లప్పుడు,శాశ్వతముగా",,,1,,,"ప్రతిదినము,ఎల్లప్పుడు,శాశ్వతముగా",,,,,,
నిర్దయము,క్రి.విణ,"క్రూరముగా,దయలేకుండగా",,,,1,,"క్రూరముగా,దయలేకుండగా",,,,,,
నిర్విఘ్నము,క్రి.విణ,"విఘ్నము లేకుండా,అడ్డు లేకుండా",,,1,,,"విఘ్నము లేకుండా,అడ్డు లేకుండా",,,,,,
నిర్విచారము,క్రి.విణ,"విచారము లేకుండ,ముందు వెనుకలు చూడకుండ",,,,1,,"విచారము లేకుండ,ముందు వెనుకలు చూడకుండ",,,,,,
నిశ్శేషము,క్రి.విణ,"సర్వము,అంతయు",,,,,1,"సర్వము,అంతయు",,,,,,
నెట్ట,క్రి.విణ,"మిక్కిలి,అధికముగా",,,,,1,"మిక్కిలి,అధికముగా",,,,,,
నెట్టన,క్రి.విణ,"మిక్కిలి,అధికముగా,నిండుగా,సమ్రుద్ధముగా,ఆవశ్యము,తప్పక,న్యాయముగా,పాడితప్పక,నిజముగా,యదార్థముగా,చక్కగా,ఒప్పుగా,తెగించి,సాహసించి,అనాలోచితంగా,తొందరపడి,చెచ్చెర,శీఘ్రముగా,కొంచెమైనను,అల్పమైనను",,,,,1,"మిక్కిలి,అధికముగా,నిండుగా,సమ్రుద్ధముగా,ఆవశ్యము,తప్పక,న్యాయముగా,పాడితప్పక,నిజముగా,యదార్థముగా,చక్కగా,ఒప్పుగా,తెగించి,సాహసించి,అనాలోచితంగా,తొందరపడి,చెచ్చెర,శీఘ్రముగా,కొంచెమైనను,అల్పమైనను",,,,,,
నెట్టపంట,క్రి.విణ,నిష్కారణముగా,,,,1,,నిష్కారణముగా,,,,,,
నెరవిడి,క్రి.విణ,"నిండుగా,పూర్ణముగా",,,,,1,"నిండుగా,పూర్ణముగా",,,,,,
నెఱి,క్రి.విణ.ద్రు,"పూర్ణముగా,నిండుగా,గట్టిగా,దృఢముగా,మిక్కిలి,అత్యంతము,చక్కగా,లెస్సగా,నిజముగా,వాస్తవముగా",,,,,1,"పూర్ణముగా,నిండుగా,గట్టిగా,దృఢముగా,మిక్కిలి,అత్యంతము,చక్కగా,లెస్సగా,నిజముగా,వాస్తవముగా",,,,,,
తేరకు,అవ్య.క్రి.విణ,"వృధాగా,వ్యర్థముగా",తేర,,,1,,"వృధాగా,వ్యర్థముగా",,,,,,
తొరితొరి,అవ్య.క్రి.విణ,లెస్సగా,,,,,1,లెస్సగా,,,,,,
నింకెర,అవ్య.క్రి.విణ,శీఘ్రముగా,,,1,,,శీఘ్రముగా,,,,,,
మాఱు,క్రి.విణ,"ప్రతికూలముగా,ఎదురుగా",,1,,,,"ప్రతికూలముగా,ఎదురుగా",,,,,,
మిక్కిలి,క్రి.విణ,"అధికముగా,ఎక్కువగా",మిక్కిలు,,,,1,"అధికముగా,ఎక్కువగా",,,,,,
మున్నడి,క్రి.విణ,ముందుగా,,,1,,,ముందుగా,,,,,,
మున్నాడి,క్రి.విణ,ముందుగా,,,1,,,ముందుగా,,,,,,
ముసిముసి,క్రి.విణ,"మందముగ,మెల్లగ (నవ్వు)",,,,1,,"మందముగ,మెల్లగ (నవ్వు)",,,,,,
మెండు,క్రి.విణ,"అధికముగ,మిక్కుటముగ",,,,,1,"అధికముగ,మిక్కుటముగ",,,,,,
మెత్త,క్రి.విణ.ద్రు,మందముగా,,,,1,,మందముగా,,,,,,
మెత్తన,క్రి.విణ.ద్రు,"మెల్లగా,ఒయ్యన",,,,1,,"మెల్లగా,ఒయ్యన",,,,,,
"మెయిమెయి=మయి,మయి,మై,మై",క్రి.విణ.ద్రు,అనాయాసముగా,నిరువద్రవముగా,,,,1,,అనాయాసముగా,నిరువద్రవముగా,,,,
మెల్ల,క్రి.విణ.ద్రు,"మందముగా,త్వరపడక;బిగ్గరకాకుండ,ఉచ్చ్తెర్ధ్వని లేకుండ",,,1,2,,"మందముగా,త్వరపడక;బిగ్గరకాకుండ,ఉచ్చ్తెర్ధ్వని లేకుండ",,,,,,
"మేమెయి=మయిమయి,మేమే,మైమై",క్రి.విణ,అనాయాసముగా,,,,1,,అనాయాసముగా,,,,,,
మేలు,క్రి.విణ,సంపూర్ణముగా,,,,,1,సంపూర్ణముగా,,,,,,
యథాకామము,స.క్రి.విణ,"ఇచ్ఛానుసారముగా,మనస్తృప్తియగునట్లు",,,,1,,"ఇచ్ఛానుసారముగా,మనస్తృప్తియగునట్లు",,,,,,
యథాకాలము,స.క్రి.విణ,సరియగు కాలమున,అదునున,,,1,,,సరియగు కాలమున,అదునున,,,,
యథార్హము,సం.క్రి.విణ,గుణాను సారముగా లేక విలువ ననుసరించు,,,,1,,గుణాను సారముగా లేక విలువ ననుసరించు,,,,,,
యాదము,క్రి.విణ,గాఢముగా,,,,,1,గాఢముగా,,,,,,
రిత్త,క్రి.విణ,"ఊరక,వ్యర్ధముగా;నిష్కారణముగా;మిక్కిలి వ్యర్థముగా;తేరగా,అనాయాసముగా",,,,,1,"ఊరక,వ్యర్ధముగా;నిష్కారణముగా;మిక్కిలి వ్యర్థముగా;తేరగా,అనాయాసముగా",,,,,,
రిత్తకురిత్త,క్రి.విణ,శూన్యమగు,,,,1,,శూన్యమగు,,,,,,
రెంజితుంజి,క్రి.విణ,"సంపూర్ణముగా,పూర్తిగా",,,,,1,"సంపూర్ణముగా,పూర్తిగా",,,,,,
లఘువు,క్రి.విణ,శీఘృము,,,1,,,శీఘృము,,,,,,
లెస్స,క్రి.విణ,చక్కగా,, ,,,1,చక్కగా,,,,,,
లే,క్రి.విణ,అల్పముగా,,,,1,,అల్పముగా,,,,,,
వట్రిలు(ల్లు),క్రి.విణ,"గుండ్రముగా,వర్తులముగా",వట్రించు,,,,1,"గుండ్రముగా,వర్తులముగా",,,,,,
