క్రియ,క్రి.రూపం.,అర్థం,మూలపదము,Spatial,Temporal,Impetus (force),Measure,అర్థం,,,,,,
విచ్చలవిడి,క్రి.విణ,నిరాటంకముగా,,,1,,,నిరాటంకముగా,,,,,,
విడి,క్రి.విణ,"ఒంటరిగా,విడిగా",,1,,,,"ఒంటరిగా,విడిగా",,,,,,
వితావిత,క్రి.విణ,మిక్కిలి వ్యర్ధముగా,,,,,1,మిక్కిలి వ్యర్ధముగా,,,,,,
విరవిర=బిరబిర,క్రి.విణ,మిక్కిలి త్వరితముగా,,,1,,,మిక్కిలి త్వరితముగా,,,,,,
వెచ్చ,క్రి.విణ,వేడిగా,,,,,1,వేడిగా,,,,,,
వెచ్చన,క్రి.విణ.ద్రు,"వేడిగా,వెచ్చగా",,,,,1,"వేడిగా,వెచ్చగా",,,,,,
వెడ,క్రి.విణ,"అల్పముగా,కొంచెముగా 2.వదలుగా",,,,,1,"అల్పముగా,కొంచెముగా 2.వదలుగా",,,,,,
వెడవెడ,క్రి.విణ,"మిక్కిలియల్పముగా,కొంచముకొంచముగా 2.బిగ్గరగా 3.మిక్కిలి వికారముగా 4.తరచుగా 5.ఆశ్రద్ధగా 6.మృదువుగా 7.అధికముగా 8.మెల్లమెల్లగా 9.దృఢముగా,గట్టిగా",,,2,,1,"మిక్కిలియల్పముగా,కొంచముకొంచముగా 2.బిగ్గరగా 3.మిక్కిలి వికారముగా 4.తరచుగా 5.ఆశ్రద్ధగా 6.మృదువుగా 7.అధికముగా 8.మెల్లమెల్లగా 9.దృఢముగా,గట్టిగా",,,,,,
వెవ్వెఱలాడు,క్రి.విణ.ద్రు,"శీఘ్రముగా,వేగముగా",,,1,,,"శీఘ్రముగా,వేగముగా",,,,,,
వే,క్రి.విణ.,"వేగముగా,త్వరగా 2.శీఘ్రముగా,వెంటనే",,,1,,,"వేగముగా,త్వరగా 2.శీఘ్రముగా,వెంటనే",,,,,,
వేగ,క్రి.వి.ణ,వేవేగ=త్వరితముగ,వేగు,,1,,,వేవేగ=త్వరితముగ,,,,,,
వేగిరము,క్రి.విణ,త్వరితముగ,,,,,1,త్వరితముగ,,,,,,
వేమఱు=వేమాఱు,క్రి.విణ,పలుమారు,,,1,,,పలుమారు,,,,,,
వేళము,క్రి.విణ,"శీఘ్రముగా,త్వరితముగ",,,1,,,"శీఘ్రముగా,త్వరితముగ",,,,,,
వేవే,క్రి.విణ,"మిక్కిలిశీఘ్రముగా,అతి శీఘ్రముగా",,,1,,,"మిక్కిలిశీఘ్రముగా,అతి శీఘ్రముగా",,,,,,
సరసర,క్రి.విణ,మిక్కిలివేగముగా,,,1,,,మిక్కిలివేగముగా,,,,,,
ససి,క్రి.విణ,బాగుగ,,,,1,,బాగుగ,,,,,,
సుఖంబు,క్రి.విణ,సుఖముగా,,,,1,,సుఖముగా,,,,,,
హోరాహోరి,క్రి.విణ,అవిరామముగా ఎడతెగక,,,1,,,అవిరామముగా ఎడతెగక,,,,,,
యథాక్రమము,"సం.అవ్య.,క్రి.విణ","క్రమానుసారముగా,వరుసగా",,1,,,,"క్రమానుసారముగా,వరుసగా",,,,,,
యథాతథము,"సం.అవ్య.,క్రి.విణ","సరిగా,హెచ్చు తగ్గులు లేకుండగా;తగునట్లుగా,ఉచితమైనట్లు;నిజముగా జరిగినట్లు",,,,,1,"సరిగా,హెచ్చు తగ్గులు లేకుండగా;తగునట్లుగా,ఉచితమైనట్లు;నిజముగా జరిగినట్లు",,,,,,
యథాపురము,"సం.అవ్య.,క్రి.విణ","వెనుకటి వలె,పూర్వకాలమందువలె",,,1,,,"వెనుకటి వలె,పూర్వకాలమందువలె",,,,,,
యథాపూర్వము,"సం.అవ్య.,క్రి.విణ","వెనుకటి వలె,ఎప్పటివలె",,,1,,,"వెనుకటి వలె,ఎప్పటివలె",,,,,,
యథాప్రాణము,"సం.అవ్య.,క్రి.విణ","బలానుసారముగా,శక్త్యనుసారమున,యావచ్ఛక్తిని",,,,1,,"బలానుసారముగా,శక్త్యనుసారమున,యావచ్ఛక్తిని",,,,,,
యథాభాగము,"సం.అవ్య.,క్రి.విణ","ఒక్కొక్క విభాగముల ప్రకారం;వాటాల వంతు ప్రకారముగా;తగిన చోట, అర్హస్థలమున",,1,,,,"ఒక్కొక్క విభాగముల ప్రకారం;వాటాల వంతు ప్రకారముగా;తగిన చోట, అర్హస్థలమున",,,,,,
యథామతి,"సం.అవ్య.,క్రి.విణ","బుద్ధ్యనుసారముగా,బుద్ధికొలది",,,,1,,"బుద్ధ్యనుసారముగా,బుద్ధికొలది",,,,,,
యథాయథము,"సం.అవ్య.,క్రి.విణ","సరిగా,క్రమ ప్రకారముగా;చెల్లాచెదరు",,1,,,,"సరిగా,క్రమ ప్రకారముగా;చెల్లాచెదరు",,,,,,
యథావిధి,"సం.అవ్య.,క్రి.విణ",విధి ప్రకారముగా,,,1,,,,1,,విధి ప్రకారముగా,శాస్రృనుసారముగా, తగునట్లు,శాస్త్రప్రకారముగా
యథాశక్తి,"సం.అవ్య.,క్రి.విణ","శక్త్యనుసారముగా,శక్తికొలది",,,,1,,"శక్త్యనుసారముగా,శక్తికొలది",,,,,,
యథాశాస్త్రము,"సం.అవ్య.,క్రి.విణ","శాస్త్రమునందు జెప్పబడినరీతిగా,ధర్మశాస్త్రప్రకారముగా",,,,1,,"శాస్త్రమునందు జెప్పబడినరీతిగా,ధర్మశాస్త్రప్రకారముగా",,,,,,
యథాశ్రుతము,"సం.అవ్య.,క్రి.విణ","వినినట్లుగా,వినిపింపబడినట్లుగా,తెలుపబడినట్లుగా;వేదానుసారముగా;వేదప్రకారముగా",,,,1,,"వినినట్లుగా,వినిపింపబడినట్లుగా,తెలుపబడినట్లుగా;వేదానుసారముగా;వేదప్రకారముగా",,,,,,
యథాసంఖ్యము,"సం.అవ్య.,క్రి.విణ","సంక్యనుబట్టి,వరుసగా,సంఖ్యప్రకారముగా",,1,,,,"సంక్యనుబట్టి,వరుసగా,సంఖ్యప్రకారముగా",,,,,,
యథాసుఖము,"సం.అవ్య.,క్రి.విణ","సుఖముగా,ఆనందమిచ్చునట్లు",,,,1,,"సుఖముగా,ఆనందమిచ్చునట్లు",,,,,,
యథాస్థితము,"అవ్య.,క్రి.విణ","నిజముగా,సరిగా;ఉన్నదియున్నట్లుగా",,,,1,,"నిజముగా,సరిగా;ఉన్నదియున్నట్లుగా",,,,,,
యథాస్వము,"సం.అవ్య.,క్రి.విణ","ఉచితముగా;సరిగా,తనమాట ప్రకారముగా",,,,1,,"ఉచితముగా;సరిగా,తనమాట ప్రకారముగా",,,,,,
యథేచ్చము,"సం.అవ్య.,క్రి.విణ","కోరికప్రకారము,ఇష్టము వచ్చినట్లు;కావలిసినంతగా,మనస్తృప్తిగా,తృప్తియగువఱకు",,,,1,,"కోరికప్రకారము,ఇష్టము వచ్చినట్లు;కావలిసినంతగా,మనస్తృప్తిగా,తృప్తియగువఱకు",,,,,,
యథేప్సితము,"సం.అవ్య.,క్రి.విణ",యథేచ్ఛము,,,,1,,యథేచ్ఛము,,,,,,
యథేష్టము,"సం.అవ్య.,క్రి.విణ",యథేచ్ఛ,,,,1,,యథేచ్ఛ,,,,,,
యథోచితము,"సం.అవ్య.,క్రి.విణ","సరియగునట్లు,తగినట్లు",,,,1,,"సరియగునట్లు,తగినట్లు",,,,,,
యథోత్తరము,"సం.అవ్య.,క్రి.విణ","వరుసగా,ఒకటి తరువాత నొకటిగా",,1,,,,"వరుసగా,ఒకటి తరువాత నొకటిగా",,,,,,
యదర్ధము,"సం.అవ్య.,క్రి.విణ","ఎందు నిమిత్తము;ఎందుకు,దేనికై",,,,1,,"ఎందు నిమిత్తము;ఎందుకు,దేనికై",,,,,,
యావచ్ఛక్తి,"సం.అవ్య.,క్రి.విణ","శక్తికొలది,సాధ్యమైనంతలో",,,,1,,"శక్తికొలది,సాధ్యమైనంతలో",,,,,,
యావజ్జీవము,"సం.అవ్య.,క్రి.విణ","బ్రతికియున్నంత వఱకు,ప్రాణమున్నంత కాలము",,,,1,,"బ్రతికియున్నంత వఱకు,ప్రాణమున్నంత కాలము",,,,,,
కర(ఱ)కర(ఱ),క్రి.విణ.ద్రు,"తీవ్రముగా,అత్యంతము,మిక్కిలి",,,,1,,"తీవ్రముగా,అత్యంతము,మిక్కిలి",,,,,,
కుదుకనగోలు,క్రి.విణ,అన్యాయముగా,,,,1,,అన్యాయముగా,,,,,,
కుప్పగూర(లు)-కుప్పనగూర,క్రి.విణ,"కుప్పకుప్పలుగా,ప్రోగుప్రోగులుగా",కుప్ప,1,,,,"కుప్పకుప్పలుగా,ప్రోగుప్రోగులుగా",,,,,,
కుఱు,క్రి.విణ,కొంచెముగా,,,,,1,కొంచెముగా,,,,,,
"కొండొక-కొండిక,కొండుక-ఒండొక",క్రి.విణ,"ఇంచుక,కొంచెము;కొంచెము సేపు;కొంచెము దూరము",,,,,1,"ఇంచుక,కొంచెము;కొంచెము సేపు;కొంచెము దూరము",,,,,,
కోలు,క్రి.విణ,మిక్కిలి,,,,,1,మిక్కిలి,,,,,,
క్రంచర-కచ్చర,క్రి.విణ.ద్రు,శీఘ్రముగా,ఎడతెగకుండ,,,1,,,శీఘ్రముగా,ఎడతెగకుండ,,,,
క్రచ్చఱ-క్రంచఱ,క్రి.విణ.ద్రు,"అమోఘముగా,నిష్పలముగాకుండ;స్పష్టముగా;ఎల్లప్పుడు,సతతము,శీఘ్రముగా;అనాలోచితముగా;",,,,,1,"అమోఘముగా,నిష్పలముగాకుండ;స్పష్టముగా;ఎల్లప్పుడు,సతతము,శీఘ్రముగా;అనాలోచితముగా;",,,,,,
క్రన్న - క్రన్నన్,క్రి.విణ.ద్రు,"శీఘ్రముగా,పిమ్మట,మరల",,,1,,,"శీఘ్రముగా,పిమ్మట,మరల",,,,,,
క్రొత్త,క్రి.విణ,క్రొత్తగా,,,1,,,క్రొత్తగా,,,,,,
క్షిప్రము,క్రి.విణ,శీఘ్రము,,,,1,,శీఘ్రము,,,,,,
ఖుద్దున,క్రి.విణ,సొంతముగా,,,,1,,సొంతముగా,,,,,,
గడ్డు,క్రి.విణ,"అధికముగా,మిక్కిలి",,,,,1,"అధికముగా,మిక్కిలి",,,,,,
గప్పున - గుప్పున,క్రి.విణ.ద్రు,"శీఘ్రముగా,అకస్మాత్తుగా",,,1,,,"శీఘ్రముగా,అకస్మాత్తుగా",,,,,,
గరగర,క్రి.విణ,"చక్కగా,బాగుగా,పూర్తిగా",గర,,,,1,"చక్కగా,బాగుగా,పూర్తిగా",,,,,,
గుప్పుతెప్పున,క్రి.విణ.ద్రు,అతిశీఘ్రముగా,గుప్పు,,,1,,అతిశీఘ్రముగా,,,,,,
గుప్పున,క్రి.విణ.ద్రు,"శీఘ్రముగా,వేగముగా,అకస్మాత్తుగా",గుప్పు,,1,,,"శీఘ్రముగా,వేగముగా,అకస్మాత్తుగా",,,,,,
గుబ్బన,క్రి.విణ.ద్రు,"శీఘ్రముగా,వేగముగా",,,,1,,"శీఘ్రముగా,వేగముగా",,,,,,
గ్రక్కన - గ్రక్కున,క్రి.విణ.ద్రు,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
గ్రక్కున - గ్రక్కన,క్రి.విణ.ద్రు,"శీఘ్రముగా,వెంటనే,నిరంతరము,ఎడతెఱిపి లేకుండగ",,,1,,,"శీఘ్రముగా,వెంటనే,నిరంతరము,ఎడతెఱిపి లేకుండగ",,,,,,
గ్రద్దన,క్రి.విణ.ద్రు,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
గొడ్డేఱు,క్రి.విణ,"వ్యర్థముగా,దిక్కు లేకుండగా",,,,,1,"వ్యర్థముగా,దిక్కు లేకుండగా",,,,,,
గ్రక్కుపాటునన్,క్రి.విణ,"హఠాత్తుగా,ఆకస్మికముగా",,,1,,,"హఠాత్తుగా,ఆకస్మికముగా",,,,,,
చపచపగా,క్రి.విణ,వ్యర్ధముగా,,,,,1,వ్యర్ధముగా,,,,,,
చప్పున,క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చయ్యన,క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చరాలున(ల్న),క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చల్లగ,క్రి.విణ,"చల్లగా, వర్ధిల్లునట్లు, నెమ్మదిగా",,,,1,,"చల్లగా, వర్ధిల్లునట్లు, నెమ్మదిగా",,,,,,
చివాలులున,క్రి.విణ,"తటాలున, అతిశీఘ్రముగ",,,1,,,"తటాలున, అతిశీఘ్రముగ",,,,,,
చివ్వున,క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చువ్వ(వ్వు)న,క్రి.విణ,"చివ్వున, శీఘ్రముగా",,,,1,,"చివ్వున, శీఘ్రముగా",,,,,,
చెచ్చెర-చెరచెర,క్రి.విణ,"శీఘ్రముగా, సులభముగా",,,,1,,"శీఘ్రముగా, సులభముగా",,,,,,
చెరచెర-చెచ్చెర,క్రి.విణ,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
చెల్లాకుజెదరు, క్రి.విణ,చెల్లాచెదరుగా,,1,,,,చెల్లాచెదరుగా,,,,,,
జడ్డన,క్రి.విణ.,"తటాలున, శీఘ్రముగా",,,1,2,,"తటాలున, శీఘ్రముగా",,,,,,
జరీ(లు)న,క్రి.విణ.,శీఘ్రముగా,,,,1,,శీఘ్రముగా,,,,,,
జల్లిక,క్రి.విణ.,"పెల్లుగా, అధికముగ",,,,,1,"పెల్లుగా, అధికముగ",,,,,,
జిఱ్ఱజిఱ్ఱన,క్రి.విణ.,జిఱ్ఱయన ధ్వని కలుగునట్లుగా,జిఱ్ఱ,,,1,,జిఱ్ఱయన ధ్వని కలుగునట్లుగా,,,,,,
జిలిబిలి,క్రి.విణ.,"మెల్లగా, మందముగా, సొగసుగా",,,,1,,"మెల్లగా, మందముగా, సొగసుగా",,,,,,
డాగినీ,క్రి.విణ,మల్లక్రియా విశేషము,,,,,1,మల్లక్రియా విశేషము,,,,,,
"డిగ్గన - డిగ్గున, దిగ్గన",క్రి.విణ.,తటాలున,,,1,,,తటాలున,,,,,,
డిగ్గున - డిగ్గన,క్రి.విణ.,"తటాలువ, శీఘ్రముగా",,,1,,,"తటాలువ, శీఘ్రముగా",,,,,,
డెప్పరము,క్రి.విణ.,అధికముగా,,,,,1,అధికముగా,,,,,,
తటాన - తటాలున,క్రి.విణ.,"శీఘ్రముగా, ఆకస్మికముగా",,,1,,,"శీఘ్రముగా, ఆకస్మికముగా",,,,,,
తటాలున (ల్న) - తటాన,క్రి.విణ.,"శీఘ్రముగా, వెంటవే, ఆకస్మికముగా",,,1,,,"శీఘ్రముగా, వెంటవే, ఆకస్మికముగా",,,,,,
తటుకున - తటుక్కున,క్రి.విణ.,"అతి శీఘ్రముగా, అనాలోచితముగా, హఠాత్తుగా, ఆకస్మికముగా",,,1,,,"అతి శీఘ్రముగా, అనాలోచితముగా, హఠాత్తుగా, ఆకస్మికముగా",,,,,,
తటుక్కున - తటుకున,క్రి.విణ.,"తటాలున, శీఘ్రముగా, వెంటనే",,,1,,,"తటాలున, శీఘ్రముగా, వెంటనే",,,,,,
తడుకున-తటుకున,క్రి.విణ.ద్రు,"శీఘ్రముగా, హఠాత్తుగా",,,1,,,"శీఘ్రముగా, హఠాత్తుగా",,,,,,
తరతరము,క్రి. విణ,"క్రమక్రమముగా,వరుసపెట్టి,మునుమీడి, వంశపరంపరగా, అత్యంత  మిక్కిలి.",,,1,,,"క్రమక్రమముగా,వరుసపెట్టి,మునుమీడి, వంశపరంపరగా, అత్యంత  మిక్కిలి.",,,,,,
తఱుచు,క్రి. వి ణ,"దట్టముగా,నిబిడముగా,సాంద్రముగా,అధికముగా,మిక్కిలి,ప్రాయికముగా,సమాన్యముగా.",,,,,1,"దట్టముగా,నిబిడముగా,సాంద్రముగా,అధికముగా,మిక్కిలి,ప్రాయికముగా,సమాన్యముగా.",,,,,,
తఱిదఱి,క్రి. విణ.ద్రు,తోడ్తోవెనువెంట,,,1,,,తోడ్తోవెనువెంట,,,,,,
తివుట-తిగుట,క్రి.విణ.,"శీఘ్రముగా, వడిగా",తిపురు,,,1,,"శీఘ్రముగా, వడిగా",,,,,,
తుట్టమర,క్రి.విణ.,"బొత్తిగా, పూర్ణముగా ",,,,,1,"బొత్తిగా, పూర్ణముగా ",,,,,,
తురితము,క్రి.విణ.,శీఘ్రముగా  ,,,,1,,శీఘ్రముగా  ,,,,,,
తురీన,క్రి.విణ.ద్రు,"తారూలున, హఠాత్తుగా, శీఘ్రముగా",,,1,,,"తారూలున, హఠాత్తుగా, శీఘ్రముగా",,,,,,
